date,1. open,2. high,3. low,4. close,5. volume,Ticker
2020-11-06,24.93,24.96,24.23,24.31,55454491.0,BAC
2020-11-05,23.9,24.7879,23.855,24.61,74722613.0,BAC
2020-11-04,23.89,24.14,23.265,23.68,88845454.0,BAC
2020-11-03,24.58,24.94,24.51,24.69,65106150.0,BAC
2020-11-02,23.89,24.26,23.47,24.08,59756372.0,BAC
2020-10-30,23.49,23.84,23.24,23.7,66499910.0,BAC
2020-10-29,23.36,23.75,23.12,23.54,57490448.0,BAC
2020-10-28,23.41,23.66,23.12,23.47,81942517.0,BAC
2020-10-27,24.29,24.39,23.81,23.85,55009290.0,BAC
2020-10-26,24.47,24.58,24.15,24.54,59450201.0,BAC
2020-10-23,25.24,25.26,24.71,24.9,51007411.0,BAC
2020-10-22,24.05,24.91,24.0,24.87,55401973.0,BAC
2020-10-21,24.22,24.34,24.01,24.05,41564912.0,BAC
2020-10-20,23.89,24.48,23.88,24.14,62476424.0,BAC
2020-10-19,24.3,24.32,23.69,23.72,51377925.0,BAC
2020-10-16,24.2,24.35,23.94,24.24,58357722.0,BAC
2020-10-15,23.59,24.2,23.48,24.15,66832398.0,BAC
2020-10-14,24.35,24.59,23.59,23.62,127563386.0,BAC
2020-10-13,25.64,25.68,24.84,24.95,61186942.0,BAC
2020-10-12,25.3,25.83,25.24,25.68,48362917.0,BAC
2020-10-09,25.34,25.49,25.04,25.36,44511466.0,BAC
2020-10-08,24.95,25.3,24.81,25.24,52080647.0,BAC
2020-10-07,24.63,25.11,24.6,24.88,47647962.0,BAC
